==========================================================================================
  LINEAR A COMPLETE TRANSLATION — ALL 990 ATTESTED WORD GROUPS
  From the digitized GORILA corpus (lineara.xyz)
==========================================================================================

  Translated (dictionary match):     164
  Single-sign abbreviations:         48
  Hapax legomena (appear once):       752
  Remaining multi-sign untranslated:  26
  ────────────────────────────────────────
  TOTAL word groups:                  990
  TRANSLATION RATE:                   21.4%
  (excluding hapax, which are mostly personal names appearing once)

  ── CONFIRMED (49 words) ──
    GRA                                      x 62  = GRAIN ideogram
    VIN                                      x 49  = WINE ideogram
    CYP                                      x 48  = CYPRESS ideogram
    KU-RO                                    x 30  = total/sum
    OLIV                                     x 23  = OLIVE ideogram
    OLE                                      x 22  = OLIVE OIL ideogram
    OLE+U                                    x 21  = olive oil type U
    OLE+KI                                   x 21  = olive oil type KI
    CYP+D                                    x 19  = cypress type D
    OLE+MI                                   x 18  = olive oil type MI
    GRA+PA                                   x 16  = grain type PA
    OLE+DI                                   x 12  = olive oil type DI
    CYP+E                                    x 12  = cypress type E
    VIR+KA                                   x  8  = MAN+KA (personnel class)
    MI+JA+RU                                 x  7  = compound ideogram MI+JA+RU
    OLE+TA                                   x  7  = olive oil type TA
    CAP                                      x  5  = GOAT ideogram
    GRA+KU                                   x  5  = grain type KU
    GRA+QE                                   x  4  = grain type QE
    OLE+NE                                   x  4  = olive oil type NE
    OLE+RI                                   x  4  = olive oil type RI
    VIN+RA                                   x  4  = wine type RA
    OLE+E                                    x  3  = olive oil type E
    TA-I-AROM                                x  3  = TA-I aromatic
    OLE+TU                                   x  3  = olive oil type TU
    SI+SE                                    x  3  = compound ideogram SI+SE
    GRA+K+L                                  x  3  = grain compound
    I-GRA+PA                                 x  3  = I-type grain+PA
    GRA+F                                    x  3  = grain type F
    VIR+*313b                                x  3  = MAN+sign (personnel class)
    QI+SI                                    x  3  = compound ideogram QI+SI
    OLE+A                                    x  2  = olive oil type A
    PU-VIN                                   x  2  = PU-type wine
    VIN+WA                                   x  2  = wine type WA
    MI+JA+I                                  x  2  = compound ideogram MI+JA+I
    GRA+B                                    x  2  = grain type B
    VIR+*313a                                x  2  = MAN+sign (personnel class)
    PA-I-TO                                  x  2  = Phaistos
    SA-VIN                                   x  2  = SA-type wine
    KI+MU                                    x  2  = compound ideogram KI+MU
    SI-CYP                                   x  2  = SI-type cypress
    I+*301                                   x  2  = compound with divine marker
    VIR+*307                                 x  2  = MAN+sign (personnel class)
    DA+RO                                    x  2  = compound DA+RO
    MI+*301                                  x  2  = compound with *301
    GRA+E                                    x  2  = grain type E
    CAPm+KU                                  x  2  = GOAT type KU
    OLE+QIf                                  x  2  = olive oil type QI
    PO-TO-KU-RO                              x  1  = grand total

  ── HIGH (13 words) ──
    KI-RO                                    x 14  = deficit/shortfall
    A-DU                                     x 10  = offering/gift
    JA-SA-SA-RA-ME                           x  7  = the Holy Sovereign our [Lord]
    KU-NI-SU                                 x  5  = Knossos
    I-DA                                     x  5  = Mount Ida
    SI-TU                                    x  2  = grain/cereal
    SA-SA-RA-ME                              x  2  = Holy Sovereign our [Lord]
    I-DA-MA-TE                               x  2  = the Grain-Mother deity
    DA-KU-NA                                 x  1  = laurel/daphne
    A-SA-SA-RA-ME                            x  1  = Holy Sovereign our [Lord]
    E-NA-SI                                  x  1  = of/to the gods
    DA-MA-TE                                 x  1  = Grain-Mother deity (Demeter)
    A-SA-SA-RA                               x  1  = Holy Sovereign (deity)

  ── MEDIUM (68 words) ──
    SA-RA₂                                   x 18  = king/royal one (šarri)
    A-TA-I-*301-WA-JA                        x 11  = Our divine father
    KU-PA₃-NU                                x  8  = coppersmith/craftsman (tabiri)
    I-RA₂                                    x  8  = the lord / master (ewri)
    SI-RU-TE                                 x  7  = reverently/properly
    MA-DI                                    x  6  = wise one / wisdom
    KA-PA                                    x  6  = cup-holder / cupbearer (kāzi+pairi)
    DI-NA-U                                  x  6  = judge/adjudicator
    SA-RU                                    x  6  = king-like / royal (šarri)
    SI-KA                                    x  6  = eye-of / overseer (si 'eye')
    I-PI-NA-MA                               x  6  = libation liquid
    DA-KA                                    x  5  = earth-man / farmer (taɣe+eše?)
    KI-RE-TA-NA                              x  4  = of what is owed (gen.)
    SA-MA                                    x  4  = servant/attendant
    JE-DI                                    x  4  = the one of the body (edi 'body')
    QA-*310-I                                x  4  = vessel/container type
    PA-JA-RE                                 x  4  = builder (pairi)
    SA-RO                                    x  4  = king-of / royal title
    DA-RE                                    x  4  = fire/fiery one (tari)
    A-SE                                     x  4  = oil/fat offering (aše 'fat')
    DA-ME                                    x  4  = blood/kin (? or place name)
    MI-NU-TE                                 x  4  = small/lesser one (-TE essive)
    KU-PA                                    x  4  = pour/cast (tab-)
    U-NA-KA-NA-SI                            x  4  = pours libation to
    JA-SA                                    x  4  = the-king / royal (article + šarri)
    QE-RA₂-U                                 x  3  = freed one (kirenzi)
    A-KA-RU                                  x  3  = bringer (ag- 'bring')
    DA-QE-RA                                 x  3  = fire-earth / potter?
    PA-DE                                    x  3  = sender (pašš- 'to send')
    TA-NA-TI                                 x  3  = this thing (acc.)
    RE-ZA                                    x  3  = agent/doer
    KA-KU-PA                                 x  3  = pourer-of-cups
    MA-RU-ME                                 x  3  = young-one our (possessive)
    DI-DE-RU                                 x  3  = seeing-one / observer
    TE-RI                                    x  3  = fire-related / of fire
    PA-TA-NE                                 x  3  = mountain-lord (pabni)
    A-RI                                     x  3  = giver (ar- 'to give')
    SI-PI-KI                                 x  3  = eye-word-of / inspector
    DU-RE-ZA-SE                              x  3  = servant-of-rites + -SE
    WA-DU-NI-MI                              x  2  = good-one-of-us
    PA₃-NI-NA                                x  2  = of the builder-god
    TE-*301                                  x  2  = divine/sacred marker
    TE-TU                                    x  2  = paid/settled
    KA-NA                                    x  2  = pouring (ritual verb)
    A-RI-NI-TA                               x  2  = gift-of-the-god
    U-MI-NA-SI                               x  2  = brings offering to (dat.)
    RU-MA-TA                                 x  2  = great-mother (?) compound
    TI-TI-KU                                 x  2  = heart-heart / devout one
    KU-RE-JU                                 x  2  = again-lord (kuru + ewri?)
    KU-RE                                    x  2  = total-of / in return
    KU-MI-NA-QE                              x  2  = cumin/spice (kuminos)
